Year,Date,RegionCode,RegionName,NERC,UtilitiesWithOutage,Outages,CI,CMI
2022,2022-06-26,3,Southeast,SERC,1,392,23126,11826107
2022,2022-06-22,2,Mid-Atlantic,RFC,4,1345,116292,57892347.66
2022,2022-06-22,2,Mid-Atlantic,SERC,1,238,16909,4731125.933
2022,2022-06-21,6,South,SPP RE,1,667,56193,9776683
2022,2022-06-20,4,Midwest,MRO,2,407,40463,11183108.07
2022,2022-06-18,2,Mid-Atlantic,RFC,1,499,14670,15818480
2022,2022-06-17,2,Mid-Atlantic,RFC,4,2640,185851,180860503
2022,2022-06-17,2,Mid-Atlantic,SERC,1,763,39220,13422909.39
2022,2022-06-17,4,Midwest,RFC,1,447,30771,9546444.61
2022,2022-06-17,4,Midwest,SERC,1,1205,84023,36230336
2022,2022-06-17,6,South,SERC,1,1348,70686,21709816
2022,2022-06-16,2,Mid-Atlantic,RFC,3,759,70744,31145199
2022,2022-06-16,4,Midwest,RFC,1,926,47282,22648473
2022,2022-06-15,2,Mid-Atlantic,RFC,3,808,210980,81416508
2022,2022-06-15,4,Midwest,MRO,1,52,10123,1876974
2022,2022-06-14,2,Mid-Atlantic,RFC,6,3841,415337,393693721.9
2022,2022-06-14,4,Midwest,MRO,1,45,1122,797150.034
2022,2022-06-14,4,Midwest,RFC,1,292,4609,5769980
2022,2022-06-13,2,Mid-Atlantic,RFC,6,2682,425668,445895875.6
2022,2022-06-13,4,Midwest,MRO,1,157,17565,11210655.98
2022,2022-06-13,4,Midwest,RFC,2,1048,149448,129565505.3
2022,2022-06-11,6,South,SPP RE,1,369,34568,12777480
2022,2022-06-10,3,Southeast,SERC,1,504,16898,8181331
2022,2022-06-08,2,Mid-Atlantic,RFC,1,38,12454,2612802
2022,2022-06-08,5,Southwest,SPP RE,1,156,11000,2463363.09
2022,2022-06-08,6,South,SPP RE,1,1243,91846,48844975
2022,2022-06-01,2,Mid-Atlantic,RFC,1,287,45603,11733102
2022,2022-06-01,4,Midwest,RFC,1,415,32159,25748353.19
2022,2022-05-31,4,Midwest,MRO,3,347,25015,11045582.12
2022,2022-05-31,6,South,SPP RE,1,670,44473,6032566
2022,2022-05-30,4,Midwest,MRO,3,990,108394,39946252.32
2022,2022-05-25,6,South,TRE,1,739,34376,6689919
2022,2022-05-24,6,South,TRE,1,708,35431,9298191
2022,2022-05-22,6,South,TRE,1,467,36133,7217328
2022,2022-05-21,2,Mid-Atlantic,RFC,2,465,63613,25434164
2022,2022-05-21,2,Mid-Atlantic,SERC,1,189,15258,5124592.95
2022,2022-05-21,3,Southeast,FRCC,1,371,38970,5113392.25
2022,2022-05-21,4,Midwest,RFC,1,545,59243,30376048.66
2022,2022-05-21,5,Southwest,SPP RE,1,133,20247,1650529
2022,2022-05-21,5,Southwest,WECC,1,791,87443,47480740.29
2022,2022-05-21,6,South,SERC,2,1701,48615,12464758
2022,2022-05-20,5,Southwest,WECC,1,207,57538,34514971.09
2022,2022-05-19,2,Mid-Atlantic,RFC,1,171,16834,6811414.8
2022,2022-05-19,4,Midwest,SERC,1,343,28848,6402610
2022,2022-05-19,6,South,SERC,1,586,34132,11118922
2022,2022-05-18,7,Northwest,WECC,1,326,160523,52855768.7
2022,2022-05-15,3,Southeast,SERC,1,379,22085,12430010
2022,2022-05-15,6,South,SERC,1,918,45804,16222364
2022,2022-05-13,3,Southeast,SERC,1,262,11165,5867595
2022,2022-05-12,4,Midwest,MRO,3,839,74451,48311837.08
2022,2022-05-11,4,Midwest,MRO,2,802,99225,52960060.68
2022,2022-05-09,4,Midwest,MRO,2,205,21072,5536386.3
2022,2022-05-08,4,Midwest,MRO,1,45,4333,1464798
2022,2022-05-03,2,Mid-Atlantic,RFC,2,561,67518,32975342
